src_id,dst_id,weight
2,7,3727
2,11,218
2,12,420
2,19,60
2,25,24
2,29,170
2,30,264
2,33,576
2,36,3380
2,38,32
2,40,2502
2,43,4695
2,51,60
2,62,34634
2,67,168
2,69,24
2,74,1128
2,82,5532
2,87,21531
2,88,9761
2,91,48
2,95,5524
2,99,37
2,102,48
2,104,1512
2,116,24
2,135,120
2,141,1047
2,168,6576
2,169,6984
2,170,72
2,172,954
2,174,9546
2,175,158
2,178,324
2,180,24
2,194,24
2,195,24
2,205,1141
2,212,120
2,218,28
2,219,1908
2,220,3216
2,221,5280
2,222,38074
2,223,714
2,237,72
2,251,804
2,253,360
2,255,12468
2,269,1020
2,274,600
2,279,24
2,281,48
2,296,48
2,297,228
2,302,70
2,303,33
2,338,24
2,349,1140
2,369,24
2,511,399
2,512,9104
2,513,811
2,514,12
2,515,36
2,516,24
3,37,96
3,124,12
5,89,12
5,236,36
5,304,36
5,407,393
7,6,12
11,0,552
11,2,29
11,3,7776
11,4,16527
11,10,1912
11,12,5868
11,13,29068
11,16,192
11,17,100
11,19,20966
11,21,156
11,22,300
11,24,1080
11,25,9
11,28,14867
11,29,4704
11,30,11740
11,31,84
11,34,12
11,36,84
11,37,14228
11,41,1130
11,42,1224
11,43,11524
11,49,2052
11,51,1548
11,52,4452
11,55,84
11,57,835
11,60,26748
11,62,34627
11,64,12
11,67,144
11,69,72
11,72,612
11,85,12
11,87,198
11,88,2294
11,89,1786
11,90,36
11,95,708
11,96,3072
11,97,732
11,99,192
11,100,7944
11,102,240
11,133,36
11,145,12
11,155,144
11,160,84
11,162,24
11,164,324
11,165,206
11,166,24
11,167,504
11,169,25968
11,171,24
11,172,144
11,174,672
11,175,200
11,176,17483
11,177,264
11,179,305
11,194,60
11,195,24
11,202,464
11,205,1055
11,213,564
11,215,4681
11,216,360
11,218,276
11,219,2890
11,220,120
11,221,384
11,222,7352
11,227,288
11,245,1260
11,252,240
11,253,3301
11,255,72
11,269,5472
11,271,216
11,276,96
11,279,18143
11,284,132
11,289,24
11,295,48
11,297,540
11,300,6597
11,301,150
11,303,838
11,305,24
11,322,48
11,326,24
11,348,12
11,350,168
11,361,816
11,406,144
11,408,156
11,409,4261
11,437,156
11,455,24
11,456,24
11,461,48
11,467,96
11,482,36
11,483,96
11,512,648
11,513,1080
11,514,72
13,30,12
13,37,924
13,42,12
13,58,24
13,68,12
13,85,530
13,106,149
13,117,24
13,124,12
13,137,12
13,139,24
13,140,46
13,149,24
13,184,84
13,205,444
13,208,72
13,227,96
13,262,168
13,264,24
13,293,24
13,297,24
13,306,48
13,361,72
13,382,384
13,454,24
13,482,12
13,506,24
17,157,100
17,271,888
18,16,48
18,39,1
18,55,36
18,110,24
18,111,24
18,140,50
18,141,7246
18,181,120
18,250,24
18,306,36
18,313,48
18,394,12
18,444,12
18,468,12
18,480,24
19,2,7318
19,4,1608
19,5,4027
19,10,96
19,11,9682
19,25,1005
19,28,12
19,36,24
19,41,57
19,43,970
19,52,12
19,57,126
19,62,27288
19,67,36
19,74,48
19,88,1037
19,95,5530
19,97,16
19,100,48
19,141,228
19,165,113
19,168,10586
