node_id,asn,path_occurrences,in_degree,out_degree,degree,in_degree,out_degree,betweenness,pagerank
0,42,3036,6,0,0.011627906976744186,0.011627906976744186,0.0,0.0,0.0015038068258836587
1,112,48,2,0,0.003875968992248062,0.003875968992248062,0.0,0.0,0.0015671375998544041
2,174,4372226,7,67,0.1434108527131783,0.013565891472868217,0.1298449612403101,0.01140588545194551,0.0039676557725111155
3,202,7884,1,2,0.005813953488372093,0.001937984496124031,0.003875968992248062,0.0,0.0015847418079166808
4,714,33798,4,0,0.007751937984496124,0.007751937984496124,0.0,0.0,0.0018049643289292645
5,1031,5806,3,4,0.013565891472868217,0.005813953488372093,0.007751937984496124,0.0002521261383306992,0.001752493964529425
6,1251,1722,3,0,0.005813953488372093,0.005813953488372093,0.0,0.0,0.0037435593520643326
7,1916,4140,3,1,0.007751937984496124,0.005813953488372093,0.001937984496124031,2.2578460149017837e-05,0.0015579361988352094
8,2615,432,2,0,0.003875968992248062,0.003875968992248062,0.0,0.0,0.002418374737306552
9,2688,1728,4,0,0.007751937984496124,0.007751937984496124,0.0,0.0,0.002724080562926026
10,2906,3952,6,0,0.011627906976744186,0.011627906976744186,0.0,0.0,0.0015213880421540227
11,3356,5031867,8,110,0.22868217054263565,0.015503875968992248,0.2131782945736434,0.002363212162263867,0.005118724941708585
12,3360,6456,4,0,0.007751937984496124,0.007751937984496124,0.0,0.0,0.0015737399179639893
13,3549,34031,2,27,0.0562015503875969,0.003875968992248062,0.05232558139534883,0.0025325506133815007,0.0031211457385260342
14,3856,24,2,0,0.003875968992248062,0.003875968992248062,0.0,0.0,0.001486024225724861
15,4995,600,1,0,0.001937984496124031,0.001937984496124031,0.0,0.0,0.002583788905125954
16,5662,288,3,0,0.005813953488372093,0.005813953488372093,0.0,0.0,0.0016421735366583855
17,6057,20614,6,2,0.015503875968992248,0.011627906976744186,0.003875968992248062,1.1289230074508918e-05,0.0014990990783862318
18,6429,18422,3,15,0.03488372093023256,0.005813953488372093,0.029069767441860465,0.004109279747121246,0.0034231224598880497
19,6453,1810812,6,40,0.08914728682170542,0.011627906976744186,0.07751937984496124,0.005384962745540754,0.007556334810359693
20,6471,3444,3,24,0.05232558139534883,0.005813953488372093,0.046511627906976744,0.0013133137653345375,0.0032321448351456867
