src_id,dst_id,weight
0,3889,24
0,10495,3595
2,18,86561
2,46,36607
2,1212,4931
2,2083,5518
2,2420,16695
2,2715,2679
2,7076,2388
2,7078,1041
2,16670,1408
5,763,252
5,1818,134
5,2316,1590
5,2738,243
5,2764,700
5,3409,1480
5,4443,10260
5,5369,169
6,2061,1200
6,2340,56983
6,2857,1215
6,8745,3281
9,6213,60
14,209,9353
14,959,1734
14,1996,318
14,2679,4426
14,4211,196732
14,6970,756
17,0,158955
17,7,39810
17,9,155159
17,12,13640
17,14,201157
17,24,227161
17,25,24182
17,33,442862
17,34,16824
17,35,14454
17,36,18507
17,37,15715
17,38,1771340
17,42,3793369
17,43,378971
17,44,328867
17,47,51460
17,49,14299
17,51,146630
17,52,2535272
17,53,10297
17,57,824064
17,60,661
17,63,1641
17,64,7811
17,68,58
17,69,60245
17,73,83832
17,75,347055
17,76,52480
17,77,376253
17,80,5109
17,81,18744
17,89,58858
17,91,60589
17,93,33399
17,103,16861
17,104,29401
17,115,731040
17,118,2844786
17,120,26878
17,122,18515787
17,124,597
17,125,152559
17,129,17311
17,133,65812
17,134,25519
17,138,143207
17,142,273959
17,145,15513
17,152,66395
17,156,29216
17,157,541004
17,160,718
17,161,14723
17,169,259177
17,172,16553
17,173,1483
17,176,70401
17,177,12627
17,185,159321
17,191,31890
17,192,1547654
17,196,845640
17,197,218698
17,198,525118
17,201,98613
17,202,21383
17,204,279157
17,213,37779
17,215,152119
17,219,18994
17,222,111470
17,225,37925
17,226,1285926
17,230,984
17,231,60758
17,241,5256
17,242,322918
17,245,23688
17,249,1937404
17,253,6909
17,254,21865
17,259,61635
17,263,17365
17,265,1200342
17,268,3744
17,272,18414
17,276,2153
17,278,11475
17,280,186859
17,281,9164859
17,291,252288
17,292,66857
17,294,571562
17,295,495715
17,298,19223
17,302,20808345
17,304,55725
17,308,112136
17,311,48834
17,313,81753
17,314,6261700
17,315,7544
17,319,18039
17,322,6222
17,327,7646
17,331,35614
17,332,45646
17,335,977480
17,336,14539
17,338,2484973
17,339,14330
17,344,17150
17,346,1706
17,347,1200
17,357,48056
17,359,7883006
17,360,34739
17,365,364866
17,367,65536
17,369,1177148
17,376,1129
17,378,21932
17,379,8047
17,380,3715
17,383,62252
17,386,93183
17,396,11412
17,398,492833
17,400,578099
17,415,671389
17,416,376942
17,417,2020208
17,418,12861
17,419,136627
17,424,119661
17,425,179911
17,430,23236
17,432,3048270
17,436,36349
17,439,104331
17,441,696
17,442,136
17,445,14970
17,447,1038
17,449,83006
17,450,526607
17,453,83430
17,455,3147
17,459,6188
17,460,500354
17,463,25588
17,464,284162
17,467,430330
17,470,29551
17,472,256992
17,479,8186
17,481,46443
17,486,11601
17,488,24543
17,489,6907359
17,495,30474
17,498,4557
17,500,260483
17,504,16888
17,507,125477
17,509,299405
17,512,5759
17,514,2427429
17,515,2933
17,518,197114
17,519,322298
17,521,4049
17,523,10094
17,527,453347
17,529,205714
17,532,29933
17,537,130040
17,538,304845
17,541,8650
17,543,5931
17,544,81177
17,547,237900
17,548,7921
17,549,109125
17,551,2218
17,553,180538
17,556,23702
17,557,287946
17,558,2018892
17,559,740
17,562,155703
17,566,18337
17,567,29959
17,572,4085198
17,574,9000826
17,576,2955392
17,579,2371
17,581,8418
17,583,752
17,589,4322
17,590,948011
17,593,8275
17,597,174074
17,599,44842
17,603,252748
17,604,14408
17,605,59776
17,609,11573
17,613,24436
17,615,58998
17,616,211418
17,617,4829768
17,618,34477
17,620,32063
17,621,141112
17,622,7651
17,623,15920
17,628,24698
17,631,17166
17,632,619268
17,636,109137
17,640,70197
17,642,67481
17,644,23586
17,646,49341
17,653,5220201
17,659,890913
17,661,8151
17,664,58573
17,665,9193
17,670,3485
17,671,1532339
17,672,4653
17,673,476
17,676,17619
17,677,316473
17,679,152028
17,680,5741
17,686,43274
17,701,15471
17,702,6106
17,704,1051145
17,713,61047
17,717,14802771
17,723,106475
17,730,407657
17,731,44678
17,741,59734
17,746,5087544
17,751,29192
17,753,15388
17,755,61898
17,757,14573
17,758,3571
17,759,37091
17,761,21158
17,764,105516
17,765,1347019
