node_id,asn,path_occurrences,in_degree,out_degree,name,org_id,info_traffic,info_ratio,info_scope,info_type,info_prefixes4,info_prefixes6,info_unicast,info_multicast,info_ipv6,ix_count,fac_count,policy_url,policy_general,policy_locations,policy_ratio,policy_contracts
0,3,393034,9,2,Massachusetts Institute of Technology,11937,,Mostly Inbound,North America,Educational/Research,10,1,True,True,True,0,2,,Restrictive,Not Required,False,Not Required
1,31,56838,2,0,,,,,,,,,,,,,,,,,,
2,42,932315,460,9,PCH AS42,393,1-5Gbps,Balanced,Global,Educational/Research,600,600,True,False,True,327,53,http://www.pch.net/peering/,Open,Preferred,False,Not Required
3,46,39662,7,0,Rutgers University,13264,,Mostly Inbound,Regional,Educational/Research,20,1,True,True,True,3,2,,Selective,Not Required,False,Not Required
4,49,33435,2,0,NIST,19096,,Not Disclosed,Not Disclosed,,0,0,False,False,False,0,0,,Open,Not Required,False,Not Required
5,57,160843,14,8,Northern Lights GigaPOP,9189,100-200Gbps,Mostly Inbound,Regional,Educational/Research,1000,50,True,True,True,1,5,,Open,Not Required,False,Not Required
6,62,2029430,17,4,CyrusOne,7625,,Mostly Inbound,North America,NSP,0,0,True,False,True,5,10,,Open,Not Required,False,Not Required
7,72,683458,35,0,Schlumberger Limited,14368,,Not Disclosed,Global,Enterprise,175,1,True,False,False,2,0,,Selective,Not Required,False,Not Required
8,77,12169,32,0,Johns Hopkins APL,31229,,Not Disclosed,Not Disclosed,Enterprise,2,0,True,False,False,1,1,,Selective,Not Required,False,Not Required
9,101,625496,35,1,Pacific Northwest Gigapop,461,100-200Gbps,Balanced,Regional,Educational/Research,400,50,True,False,True,6,3,https://pnwgp.net/network-policies,Open,Not Required,False,Not Required
10,109,385196,17,0,"Cisco Systems, Inc.",8574,,Balanced,Global,Enterprise,100,5,True,False,True,8,17,,Selective,Not Required,False,Not Required
11,112,11438,188,0,DNS-OARC-112,14519,,Mostly Outbound,Global,Non-Profit,2,2,True,False,True,140,3,,Open,Not Required,False,Not Required
12,122,41556,7,0,UPMC AS122,25878,5-10Gbps,Not Disclosed,Regional,Enterprise,25,10,True,False,True,1,0,,Selective,Not Required,False,Not Required
13,125,105141,6,0,Honeywell International,20585,,Not Disclosed,Not Disclosed,,0,0,False,False,False,0,0,,Open,Not Required,False,Not Required
14,137,799341,47,6,GARR,837,100-200Gbps,Balanced,Europe,Educational/Research,200,50,True,True,True,5,4,,Open,Preferred,False,Not Required
15,166,105253,3,0,,,,,,,,,,,,,,,,,,
16,173,28817,10,0,NTT Network Innovation Laboratories,9637,20-100Mbps,Mostly Inbound,Regional,Educational/Research,10,1,True,False,False,1,0,,Open,Not Required,False,
17,174,1053036986,318,3171,"Cogent Communications, Inc.",365,100+Tbps,,Global,NSP,700000,150000,True,False,True,0,814,,No,Not Required,False,Not Required
18,187,86561,1,0,,,,,,,,,,,,,,,,,,
19,202,1670906,1,27,,,,,,,,,,,,,,,,,,
20,206,17827,3,0,,,,,,,,,,,,,,,,,,
21,223,52674,3,0,,,,,,,,,,,,,,,,,,
22,224,106186,11,0,Uninett,14854,,Not Disclosed,Regional,Educational/Research,50,10,True,True,True,6,4,,Open,Not Required,False,Not Required
23,226,770721,10,3,Los Nettos,1177,,Mostly Inbound,Regional,Educational/Research,300,50,True,True,True,3,2,,Open,Not Required,False,Not Required
24,237,800628,16,0,Merit Network,31248,300-500Gbps,Mostly Inbound,Regional,Educational/Research,1000,50,True,True,True,4,6,,Selective,Not Required,False,Not Required
25,249,169312,18,2,PACKETSTAR,37726,1-5Tbps,Balanced,Regional,Content,200,50,True,False,True,3,19,https://as249.net,Open,Not Required,False,Not Required
26,250,17908,121,0,AS250.net,9829,100-1000Mbps,Balanced,Europe,Non-Profit,8,2,True,True,True,8,8,,Open,Preferred,False,Not Required
27,260,307704,16,10,GTT Communications (AS260),8897,,,Global,NSP,300,150,True,False,True,1,1,,No,Required - International,True,Required
28,267,28830,5,1,NETHER-NET,23285,1-5Gbps,Not Disclosed,North America,Cable/DSL/ISP,10,10,True,False,True,1,1,,Open,Not Required,False,Not Required
