node_id,asn,path_occurrences,in_degree,out_degree,name,org_id,info_traffic,info_ratio,info_scope,info_type,info_prefixes4,info_prefixes6,info_unicast,info_multicast,info_ipv6,ix_count,fac_count,policy_url,policy_general,policy_locations,policy_ratio,policy_contracts
0,3,2690,3,1,Massachusetts Institute of Technology,11937,,Mostly Inbound,North America,Educational/Research,10,1,True,True,True,0,2,,Restrictive,Not Required,False,Not Required
1,31,405,2,0,,,,,,,,,,,,,,,,,,
2,42,7730,22,8,PCH AS42,393,1-5Gbps,Balanced,Global,Educational/Research,600,600,True,False,True,327,53,http://www.pch.net/peering/,Open,Preferred,False,Not Required
3,46,205,2,0,Rutgers University,13264,,Mostly Inbound,Regional,Educational/Research,20,1,True,True,True,3,2,,Selective,Not Required,False,Not Required
4,49,235,2,0,NIST,19096,,Not Disclosed,Not Disclosed,,0,0,False,False,False,0,0,,Open,Not Required,False,Not Required
5,57,986,4,1,Northern Lights GigaPOP,9189,100-200Gbps,Mostly Inbound,Regional,Educational/Research,1000,50,True,True,True,1,5,,Open,Not Required,False,Not Required
6,72,6170,21,0,Schlumberger Limited,14368,,Not Disclosed,Global,Enterprise,175,1,True,False,False,2,0,,Selective,Not Required,False,Not Required
7,77,125,2,0,Johns Hopkins APL,31229,,Not Disclosed,Not Disclosed,Enterprise,2,0,True,False,False,1,1,,Selective,Not Required,False,Not Required
8,101,3236,3,0,Pacific Northwest Gigapop,461,100-200Gbps,Balanced,Regional,Educational/Research,400,50,True,False,True,6,3,https://pnwgp.net/network-policies,Open,Not Required,False,Not Required
9,109,2944,13,0,"Cisco Systems, Inc.",8574,,Balanced,Global,Enterprise,100,5,True,False,True,8,17,,Selective,Not Required,False,Not Required
10,112,70,4,0,DNS-OARC-112,14519,,Mostly Outbound,Global,Non-Profit,2,2,True,False,True,140,3,,Open,Not Required,False,Not Required
11,122,240,2,0,UPMC AS122,25878,5-10Gbps,Not Disclosed,Regional,Enterprise,25,10,True,False,True,1,0,,Selective,Not Required,False,Not Required
12,125,765,5,0,Honeywell International,20585,,Not Disclosed,Not Disclosed,,0,0,False,False,False,0,0,,Open,Not Required,False,Not Required
13,166,1000,2,0,,,,,,,,,,,,,,,,,,
14,173,35,1,0,NTT Network Innovation Laboratories,9637,20-100Mbps,Mostly Inbound,Regional,Educational/Research,10,1,True,False,False,1,0,,Open,Not Required,False,
15,174,5655654,22,1383,"Cogent Communications, Inc.",365,100+Tbps,,Global,NSP,700000,150000,True,False,True,0,814,,No,Not Required,False,Not Required
16,187,1111,1,0,,,,,,,,,,,,,,,,,,
17,202,8511,1,16,,,,,,,,,,,,,,,,,,
18,223,350,3,0,,,,,,,,,,,,,,,,,,
19,226,7416,2,2,Los Nettos,1177,,Mostly Inbound,Regional,Educational/Research,300,50,True,True,True,3,2,,Open,Not Required,False,Not Required
20,237,5214,5,0,Merit Network,31248,300-500Gbps,Mostly Inbound,Regional,Educational/Research,1000,50,True,True,True,4,6,,Selective,Not Required,False,Not Required
21,260,895,3,6,GTT Communications (AS260),8897,,,Global,NSP,300,150,True,False,True,1,1,,No,Required - International,True,Required
22,267,283,3,0,NETHER-NET,23285,1-5Gbps,Not Disclosed,North America,Cable/DSL/ISP,10,10,True,False,True,1,1,,Open,Not Required,False,Not Required
