src_id,dst_id,weight
0,4,2
0,19,1
0,28,1
0,95,1
1,16,1
2,16,1
3,16,1
4,16,1
4,61,2
5,16,1
6,16,1
7,8,2
7,15,1
7,61,2
8,9,2
8,12,2
8,19,3
8,29,2
8,31,28
8,60,1
8,61,5
8,70,1
9,8,8
9,12,6
9,17,2
9,31,2
9,42,1
9,50,1
9,70,2
9,72,2
9,92,2
9,98,1
9,107,1
10,13,1
12,7,1
12,14,1
12,17,2
12,20,1
12,29,2
12,31,3
12,51,2
12,56,1
12,58,1
12,70,3
12,72,4
12,75,1
12,85,2
12,99,1
12,103,1
12,110,1
13,8,1
13,29,1
13,31,3
14,0,1
14,7,1
14,12,21
14,33,1
15,31,14
15,33,2
16,4,1
16,95,28
17,9,5
17,12,22
17,20,1
17,25,3
17,28,2
17,29,1
17,31,24
17,37,1
17,51,1
17,52,1
17,55,1
17,70,1
17,72,2
17,100,1
17,112,1
18,12,1
18,17,1
18,22,1
18,29,1
18,31,2
18,70,1
18,72,2
18,87,6
18,94,1
18,106,1
19,61,5
19,87,2
19,88,1
19,113,1
19,118,1
20,17,38
20,28,15
20,32,1
20,38,1
20,70,11
20,72,20
20,86,1
20,93,2
20,96,1
20,102,2
20,104,1
21,16,1
22,61,1
23,16,1
25,17,6
25,29,1
26,16,1
27,69,1
28,0,1
28,8,2
28,9,2
28,17,2
28,29,23
28,31,1
28,32,1
28,33,2
28,49,2
28,61,9
28,123,1
30,31,9
31,11,1
31,12,2
31,17,7
31,19,1
31,25,1
31,28,8
31,33,78
31,38,8
31,39,2
31,43,1
31,54,1
31,68,1
31,70,13
31,72,31
31,93,1
31,94,1
31,100,1
31,108,1
32,9,8
32,17,1
32,28,8
32,29,2
32,33,1
32,70,2
32,72,4
33,14,1
33,58,1
33,85,1
33,101,1
33,116,1
34,16,1
35,95,1
36,8,1
38,13,1
38,24,1
38,29,1
38,33,13
38,95,1
39,31,24
39,72,1
41,29,3
41,31,3
41,61,4
41,70,3
41,72,6
42,8,1
42,12,1
42,31,1
42,70,1
42,72,2
44,16,1
45,16,1
46,16,1
47,16,1
48,8,3
48,12,1
48,16,1
48,31,3
48,77,1
48,94,1
48,105,1
48,114,1
48,115,1
48,119,1
48,121,1
49,72,2
51,9,1
51,12,2
51,17,2
51,29,2
51,33,2
51,70,2
51,72,4
51,95,2
51,111,1
53,12,1
53,38,4
53,70,1
53,72,2
57,0,1
57,29,1
57,38,1
57,70,1
57,72,2
58,8,1
58,9,4
58,10,1
58,12,1
58,28,2
58,29,4
58,31,2
58,33,1
58,70,2
58,72,4
58,94,2
59,16,1
60,8,1
60,29,1
60,31,1
60,61,1
60,70,1
60,72,2
61,41,1
62,16,1
63,29,1
63,38,1
63,61,1
63,70,1
63,72,2
64,16,1
65,16,1
66,16,1
67,16,1
69,8,1
71,31,1
71,94,3
73,95,1
74,29,3
75,29,1
75,71,4
75,94,1
76,61,1
78,16,1
79,95,1
80,9,1
80,29,2
80,31,8
80,87,1
82,12,1
82,29,1
82,38,1
82,70,1
82,72,2
83,16,1
85,12,2
85,29,2
85,33,1
85,38,2
85,61,1
85,70,2
85,72,4
87,19,10
87,123,1
89,16,1
90,16,1
91,45,1
93,12,1
93,29,1
93,33,1
93,70,1
93,72,2
94,29,2
94,31,5
94,76,1
95,33,21
95,35,1
95,61,3
95,91,1
97,12,1
97,70,1
99,12,1
99,29,2
99,31,2
99,70,2
99,72,4
99,85,1
101,0,1
101,29,1
101,31,1
101,33,1
101,70,1
101,72,2
116,29,1
116,31,1
116,33,1
116,70,1
116,72,2
116,87,1
117,9,1
117,12,1
117,19,2
117,29,1
117,31,2
117,32,1
117,70,1
117,72,2
117,109,1
118,12,1
118,29,1
118,38,1
120,9,3
120,17,4
120,29,1
120,31,9
120,40,1
120,81,1
120,84,1
120,114,1
122,29,1
122,31,4
122,87,1
123,8,1
123,29,1
123,72,2
123,87,1
124,16,1
125,79,1
126,16,1
