node_id,asn,path_occurrences,in_degree,out_degree
0,3356,10,3,1
1,3549,17,5,4
2,6429,32,5,6
3,6471,1,1,0
4,6535,14,0,1
5,7004,28,4,6
6,7049,4,0,3
7,7195,9,1,3
8,7418,12,0,5
9,11340,4,1,0
10,12956,1,1,0
11,13335,3,2,1
12,14117,2,1,0
13,14259,44,8,10
14,14593,7,2,4
15,18822,17,1,1
16,20191,1,1,0
17,27651,12,1,7
18,27677,1,1,0
19,27874,1,1,0
20,27952,1,1,0
21,28098,1,1,0
22,52353,1,1,0
23,61460,1,1,0
24,64113,1,1,0
25,64139,1,1,0
26,64152,5,1,1
27,262213,2,2,0
28,263702,2,1,0
29,263773,1,1,0
30,264681,1,1,0
31,264780,2,1,0
32,264827,2,2,0
33,264859,1,1,0
34,265675,1,1,0
35,265858,1,1,0
36,266713,1,1,0
37,266840,1,1,0
38,266852,1,1,0
39,269733,1,1,0
40,269988,11,0,7
41,271896,5,0,3
42,272014,1,1,0
43,273879,1,1,0
